index,Institute,InstituteCountry,ResearchInstitution,InstituteNumber
144,Department of Cardiothoracic Surgery Stanford University School of Medicine,United States of America,Institution abroad - United States of America,I145
145,Institut für Geotechnik ETH Zürich,Switzerland,ETH Zurich - ETHZ,I146
146,SFIVET Swiss Federal Institute for Vocational Education and Training,Switzerland,Swiss Federal Institute for Vocational Education and Training - EHB,I147
147,Amsterdam School of Communications Research (ASCOR) University of Amsterdam,Netherlands,Institution abroad - Netherlands,I148
148,Klinisch-chemisches Zentrallabor Kantonsspital,Switzerland,University of Basel - BS,I149
149,Haas School of Business University of California,United States of America,Institution abroad - United States of America,I150
150,Cardiovascular Division Oregon's Health and Science University,United States of America,Institution abroad - United States of America,I151
151,Neural Dynamics and Computation Lab Stanford Neuroscience Institute Stanford University,United States of America,Institution abroad - United States of America,I152
152,Institute of Sport Science and DSB Department of Biomedical Science Université de Lausanne,Switzerland,University of Lausanne - LA,I153
153,Schola Cantorum Basiliensis Musik Akademie Basel FHNW,Switzerland,University of Applied Sciences and Arts Northwestern Switzerland (without UTE) - FHNW,I154
154,Institut für Chemie Universität Zürich,Switzerland,University of Zurich - ZH,I155
155,"Department of Physics and Astronomy  University of California, Irvine",United States of America,Institution abroad - United States of America,I156
156,Archivio di Stato del Canton Ticino,Switzerland,"Non-profit organisations (libraries, museums, foundations) and administration - NPO",I157
157,Département de Philosophie Université de Genève,Switzerland,Institution abroad - Switzerland,I158
158,Institut de structures EPFL - IS - ENAC,Switzerland,EPF Lausanne - EPFL,I159
159,Pharmaziehistorisches Museum  Universität Basel,Switzerland,University of Basel - BS,I160
160,"Abteilung Wirtschafts-, Sozial- und Umweltgeschichte Universität Bern",Switzerland,University of Berne - BE,I161
161,Unité de Physiologie Département de Médecine Université de Fribourg,Switzerland,University of Fribourg - FR,I162
162,GREEN Tox,Switzerland,University of Zurich - ZH,I163
163,Service de Néonatologie Département femme-mère-enfant Centre Hospitalier Universitaire Vaudois,Switzerland,University of Lausanne - LA,I164
164,Department of Chemistry Carnegie Mellon University,United States of America,Institution abroad - United States of America,I165
165,UNI: Musée de l'Homme Bibliothèque Générale Paris F,France,Institution abroad - France,I166
166,Institut de Géologie Université de Neuchâtel,Switzerland,University of Neuchatel - NE,I167
167,"Versuchsanstalt für Wasserbau, Hydrologie und Glaziologie ETH Zürich",Switzerland,ETH Zurich - ETHZ,I168
168,Departement Soziale Arbeit ZHAW Zürcher Hochschule für Angewandte Wissenschaften,Switzerland,Zurich University of Applied Sciences - ZHAW,I169
169,Climate Analysis Section Climate and Global Dynamics Division National Center for Atmospheric Research,United States of America,Institution abroad - United States of America,I170
170,Institut Suisse de Rome,Italy,Institution abroad - Italy,I171
171,Management and Organizations department Leonard N. Stern School of Business New York University (NYU),United States of America,Institution abroad - United States of America,I172
172,Section d'histoire de l'art Université de Lausanne,Switzerland,University of Lausanne - LA,I173
173,Laboratoire de physique des accélérateurs de particules EPFL - SB - IPEP - LPAP,Switzerland,EPF Lausanne - EPFL,I174
174,Department of Comparative Literature College of Arts and Science New York University,United States of America,Institution abroad - United States of America,I175
175,Departement Altertumswissenschaften Klassische Philologie Universität Basel,Switzerland,University of Basel - BS,I176
176,Service de Médecine et Psychiatrie Pénitentiaires SMPP Département de Psychiatrie - CHUV,Switzerland,University of Lausanne - LA,I177
177,Abt. Neueste Geschichte u. Zeitgeschichte Historisches Institut Universität Bern,Switzerland,University of Berne - BE,I178
178,Institut für Terrestrische Ökosysteme ETH Zürich,Switzerland,ETH Zurich - ETHZ,I179
179,Domaine Sciences des sociétés des cultures Département des Sciences sociales Université de Fribourg,Switzerland,University of Fribourg - FR,I180
180,Dépt de Médecine Génétique & Développement Faculté de Médecine,Switzerland,University of Geneva - GE,I181
