index,Institute,InstituteCountry,ResearchInstitution,InstituteNumber
3428,Aqua-System AG,Switzerland,Companies/  Private Industry - FP,I3429
3429,Faculty of Economics and Politics University of Cambridge,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I3430
3430,Zürcher Hochschule der Künste  Zürcher Fachhochschule,Switzerland,Zurich University of the Arts - ZHdK,I3431
3431,Archives d'Etat de Genève,Switzerland,University of Geneva - GE,I3432
3432,FIAM Universität Bern,Switzerland,University of Berne - BE,I3433
3433,Department of Botany University of British Columbia,Canada,Institution abroad - Canada,I3434
3434,Abteilung Ökologie und Evolution Departement für Biologie Universität Freiburg,Switzerland,University of Fribourg - FR,I3435
3435,UNI: IOWA State University   Ames USA,United States of America,Institution abroad - United States of America,I3436
3436,UNI: Royal Medical School Dept of Infectious Diseases and Bacteriology London GB,Great Britain and Northern Ireland,University of Lausanne - LA,I3437
3437,Departement Erziehungswissenschaften Universität Freiburg,Switzerland,University of Fribourg - FR,I3438
3438,Department of Renal Medicine Royal Derby Hospital University of Nottingham Medical School,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I3439
3439,UNI: University of Auckland Leigh Laboratory Leigh NZ,New Zealand,Institution abroad - New Zealand,I3440
3440,D-GESS ETH Zürich,Switzerland,University of Berne - BE,I3441
3441,Division of radiation physics Dept. of Radiation Oncology Massachusetts General Hospital,United States of America,Institution abroad - United States of America,I3442
3442,"Université de la Méditerrannée Faculté des médecine / Unité des Rickettsies, CNRS, UPRESA 6020",France,Institution abroad - France,I3443
3443,Institut für Geschichte und Theorie der Landschaftsarchitektur Hochschule für Technik Rapperswil,Switzerland,Eastern Switzerland University of Applied Sciences - OST,I3444
3444,"UNI: Centers for Disease Control Parasitic D isease Branch Division of Parasitic Diseases Atlanta, GA USA",United States of America,Institution abroad - United States of America,I3445
3445,Scripps Institution of Oceanography University of California at San Diego,United States of America,Institution abroad - United States of America,I3446
3446,Département de Biologie Cellulaire Faculté des Sciences Université de Genève,Switzerland,,I3447
3447,Department of Psychology Macquarie University,Australia,Institution abroad - Australia,I3448
3448,Projektstelle Mittelalter Historisches Seminar Universität Zürich,Switzerland,University of Zurich - ZH,I3449
3449,"UNI: University of Wisconsin   Madison, Wis. USA",United States of America,Institution abroad - United States of America,I3450
3450,"Commission de recherche de l'Univ. de Fribourg, Séminaire d'histoire ancienne Univ. de Fribourg",Switzerland,University of Fribourg - FR,I3451
3451,Institut für Europarecht Universität Freiburg,Switzerland,University of Berne - BE,I3452
3452,Ecole HEC Département de Finance et d'Economie,France,Institution abroad - France,I3453
3453,Kantonsspital Liestal Chirurgische Klinik Abt. Orthopädie & Traumatologie,Switzerland,Other Hospitals - ASPIT,I3454
3454,UNI: Ruhr-Universität Bochum   Bochum D,Germany,Institution abroad - Germany,I3455
3455,Groupe de Physique Appliquée GAP Université de Genève,Switzerland,University of Geneva - GE,I3456
3456,Haute école pédagogique Berne- Jura-Neuchâtel HEP-BEJUNE,Switzerland,"Haute Ecole Pédagogique des cantons de Berne, du Jura et de Neuchâtel - HEP-BEJUNE",I3457
3457,Laboratoire de cristallographie EPFL - SB - IPSB - LCR,Switzerland,EPF Lausanne - EPFL,I3458
3458,ETH Zentrum Departement of Environmental Systems Science ETH Zürich,Switzerland,ETH Zurich - ETHZ,I3459
3459,Anthropologisches Institut und Museum Universität Zürich,Switzerland,,I3460
3460,Biodiversity Research Centre University of British Columbia,Canada,,I3461
3461,UNI: Salk Institute for Biological Studies C omputational Neurobiology Laboratory  La Jol la USA,United States of America,Institution abroad - United States of America,I3462
3462,UNI: Tropical Cattle Research Cent   Rockham pton AUS,Australia,Institution abroad - Australia,I3463
3463,Joslin Diabetes Center,United States of America,Institution abroad - United States of America,I3464
3464,UNI: versch. Archive und Bibliotheken   Rom I,Italy,Institution abroad - Italy,I3465
3465,Leiden Institute of Chemistry Leiden University,Netherlands,Institution abroad - Netherlands,I3466
3466,Ecole de langue et de civilisation française Faculté des Lettres Université de Genève,Switzerland,University of Geneva - GE,I3467
3467,UNI: The State University    USA,United States of America,Institution abroad - United States of America,I3468
3468,Institut Sozialarbeit und Recht Hochschule Luzern - Soziale Arbeit,Switzerland,Lucerne University of Applied Sciences and Arts - HSLU,I3469
3469,Gruppe für Entwicklung und Umwelt Geographisches Institut Universität Bern,Switzerland,University of Berne - BE,I3470
3470,UNI: Universität Hamburg    D,Germany,Institution abroad - Germany,I3471
3471,Seminar für Iberoromanistik Departement Sprach-/Literaturwissenschaften Universität Basel,Switzerland,University of Basel - BS,I3472
3472,SIK-ISEA Antenne romande Université de Lausanne,Switzerland,Swiss Institute of Art Research - SIK-ISEA,I3473
3473,Hôpital Sainte-Justine Département d'Oncologie Pédiatrique Université de Montréal,Canada,Institution abroad - Canada,I3474
3474,Laboratory of Quantum Materials (QMAT) Institute of Materials EPFL,Switzerland,EPF Lausanne - EPFL,I3475
3475,Laboratoire d'Anthropologie Sociale CNRS (UMR 7130) / EHESS Collège de France,France,Institution abroad - France,I3476
3476,Institut de sociologie et de sciences politiques Université de Neuchâtel,Switzerland,EPF Lausanne - EPFL,I3477
3477,Groupe de génie électrochimique EPFL - SB - ISIC - GGEC,Switzerland,EPF Lausanne - EPFL,I3478
3478,Abteilung Onkologie Universitäts-Kinderspital Zürich,Switzerland,University of Zurich - ZH,I3479
3479,Laboratoire central de virologie Hôpital cantonal universitaire,Switzerland,University of Geneva - GE,I3480
3480,Ospedale Regionale di Lugano Ente Ospedaliero Cantonale,Switzerland,Università della Svizzera italiana - USI,I3481
3481,Antimicrobial Discovery Center Department of Biology Northeastern University,United States of America,Institution abroad - United States of America,I3482
3482,Department of Philosophy University of Sheffield,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I3483
3483,Abteilung Biochemie Biozentrum Universität Basel,Switzerland,"Non-profit organisations (libraries, museums, foundations) and administration - NPO",I3484
3484,Centre Integratif de Génomique Faculté de Biologie et Médecine Université de Lausanne,Switzerland,University of Lausanne - LA,I3485
3485,z-proso Jacobs Center fPYD Universität Zürich,Switzerland,University of Zurich - ZH,I3486
3486,Friedrich Miescher Institute for Biomedical Research,Switzerland,Institution abroad - Switzerland,I3487
3487,Institut d'analyse et de calcul scientifique EPFL - SB - IACS - CMCS,Switzerland,EPF Lausanne - EPFL,I3488
3488,UNI: Université de Lausanne Institut de Miné ralogie et Pétrographie Lausanne CH,Switzerland,University of Lausanne - LA,I3489
3489,Institut für Klinische Trans- fusionsmedizin und Immungenetik Universtitätsklinikum Ulm,Germany,Institution abroad - Germany,I3490
3490,Institut für Kunstgeschichte Universität Bern,Switzerland,Institution abroad - Switzerland,I3491
3491,Observatoire Cantonal de Neuchâtel,Switzerland,University of Neuchatel - NE,I3492
3492,Institut für Organisation und Personal Universität Bern,Switzerland,University of Berne - BE,I3493
3493,Institut für Werkzeugmaschinen und Fertigung ETH Zürich,Switzerland,ETH Zurich - ETHZ,I3494
3494,Laboratoire de théorie et simulation des matériaux EPFL - STI - IMX - THEOS,Switzerland,EPF Lausanne - EPFL,I3495
3495,St Antony's College University of Oxford,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I3496
3496,Unité TECFA FPSE Université de Genève,Switzerland,University of Geneva - GE,I3497
3497,Department of Economics Yale University,United States of America,Institution abroad - United States of America,I3498
3498,UNI: Harvard University Dept of Cellular and Developmental Biology Cambridge USA,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I3499
3499,Laboratoire transport et mobilité EPFL - ENAC - INTER - TRANSP-OR,Switzerland,EPF Lausanne - EPFL,I3500
3500,Swiss Integrative Center for Human Health SA,Switzerland,University of Fribourg - FR,I3501
3501,Department of Epidemiology & Public Health University College London,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I3502
3502,Lab. de Pharmacie Galénique et Biopharmacie Section des Sciences Pharmaceutiques Université de Genève,Switzerland,University of Geneva - GE,I3503
3503,Institut de mathématiques B EPFL - SB - IMB,Switzerland,EPF Lausanne - EPFL,I3504
3504,Department of Statistics Harvard University,United States of America,Institution abroad - United States of America,I3505
3505,Max-Planck-Institut für Evolutionsbiologie Abteilung Evolutionsgenetik,Germany,Institution abroad - Germany,I3506
3506,Laboratoire de Virologie Service des Maladies Infectieuses Hôpitaux Universitaires de Genève,Switzerland,University of Geneva - GE,I3507
3507,"Lab. of Research Division of Hematology and Oncology Davis Cancer Center, Univ. of California",United States of America,Institution abroad - United States of America,I3508
3508,Institut für Geologie Universität Bern,Switzerland,,I3509
3509,"Department of Astronomy University of California, Berkeley",United States of America,Institution abroad - United States of America,I3510
3510,Département de Botanique et de Biologie végétale Université de Genève,Switzerland,University of Geneva - GE,I3511
3511,Institut für Physiologie Biozentrum/Pharmazentrum Universität Basel,Switzerland,,I3512
3512,Département d'histoire de l'art Faculté des lettres Université de Genève,Switzerland,University of Geneva - GE,I3513
3513,Applied Physics Department Universidade Estadual de Campinas,Brazil,Institution abroad - Brazil,I3514
3514,Department of Biochemistry & Molecular Biology University of Chicago,United States of America,Institution abroad - United States of America,I3515
3515,McGill Institute for the Study of Canada McGill University,Canada,Institution abroad - Canada,I3516
3516,Centre for Employment Studies Research Faculty of Business and Law University of the West of England,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I3517
3517,Faculté de traduction et d'interprétation Université de Genève,Switzerland,University of Geneva - GE,I3518
3518,Section d'espagnol Faculté des Lettres Université de Lausanne,Switzerland,University of Lausanne - LA,I3519
3519,"Dipartimento Arti, Musica e Spettacolo Università di Bologna",Italy,Institution abroad - Italy,I3520
3520,Department of Astronomy University of Michigan,United States of America,,I3521
3521,Department of Plant Microbe Interactions Max Planck Institute for Plant Breeding Research,Germany,Institution abroad - Germany,I3522
3522,Haute école de gestion de Genève Filière Information et documentation,Switzerland,University of Applied Sciences and Arts Western Switzerland - HES-SO,I3523
3523,UNI: Universität Zürich   Zürich CH,Switzerland,Institution abroad - Switzerland,I3524
3524,Département de Chimie Université de Fribourg,Switzerland,University of Basel - BS,I3525
3525,Forschungszentrum Jülich GmbH,Germany,Institution abroad - Germany,I3526
3526,Forschungsschwerpunkt Kommunikationsdesign Y (Institut für Transdisziplinarität) Hochschule der Künste Bern HKB,Switzerland,Berne University of Applied Sciences - BFH,I3527
3527,Universität Köln Philosophisches Seminar,Germany,University of Berne - BE,I3528
3528,School of Management Yale University,United States of America,Institution abroad - United States of America,I3529
3529,"Institut für Südasien-, Tibet- und Buddhismuskunde Universität Wien",Austria,Institution abroad - Austria,I3530
3530,Unité d'Anesthèsie Pédiatrique Département de Pédiatrie Hôpitaux Universitaires de Genève,Switzerland,University of Geneva - GE,I3531
3531,Faculté de droit Université de Fribourg,Switzerland,University of Fribourg - FR,I3532
3532,Denkmalpflege für bundeseigene Bauten c/o Amt für Bundesbauten,Switzerland,"Non-profit organisations (libraries, museums, foundations) and administration - NPO",I3533
3533,Département de Sciences Biomédicales Faculté de Biologie et de Médecine Université de Lausanne,Switzerland,,I3534
3534,Zentrum Moderner Orient,Germany,Institution abroad - Germany,I3535
3535,Laboratory for Particle Physics Paul Scherrer Institute,Switzerland,Paul Scherrer Institute - PSI,I3536
3536,Institut für Computational Science ETH Zürich,Switzerland,ETH Zurich - ETHZ,I3537
3537,Département de Microbiologie Fondamentale Faculté de Biologie et de Médecine Université de Lausanne,Switzerland,ETH Zurich - ETHZ,I3538
3538,"Law School Boalt Hall, University of California",United States of America,Institution abroad - United States of America,I3539
3539,Service Romand de Vulgarisation Agricole,Switzerland,Companies/  Private Industry - FP,I3540
3540,School of Law Columbia University,United States of America,Institution abroad - United States of America,I3541
3541,Zentrum für Sozialrecht School of Management and Law ZHAW,Switzerland,Zurich University of Applied Sciences - ZHAW,I3542
3542,Labor für Myonspin Spektroskopie Paul Scherrer Institut,Switzerland,Paul Scherrer Institute - PSI,I3543
3543,Angewandte Gewässerökologie Forschungszentrum für Limnologie EAWAG Kastanienbaum,Switzerland,Swiss Federal Institute of Aquatic Science and Technology - EAWAG,I3544
3544,Service d'Hématologie Laboratoire Central d'Hematologie CHUV - BH 18e nord,Switzerland,University of Lausanne - LA,I3545
3545,Service de médecine nucléaire Département de radiologie,Switzerland,University of Lausanne - LA,I3546
3546,Lehrstuhl für Schweizer Politik Universität Zürich,Switzerland,Companies/  Private Industry - FP,I3547
3547,Radiologische Physik Departement Radiologie Universitätsspital Basel,Switzerland,University of Basel - BS,I3548
3548,"Oberflächen, Beschichtungen und Magnetismus EMPA",Switzerland,Swiss Federal Laboratories for Materials Science and Technology - EMPA,I3549
3549,Weatherall Institute of Molecular Medicine John Radcliffe Hospital University of Oxford,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I3550
3550,Institut Forschung und Entwicklung Pädagogische Hochschule Fachhochschule Nordwestschweiz,Switzerland,Pädagogische Hochschule der Fachhochschule Nordwestschweiz - PH-FHNW,I3551
3551,Abteilung Allg. und Historische Pädagogik Institut für Erziehungswissenschaft Universität Bern,Switzerland,University of Berne - BE,I3552
3552,Istituto di ricerca in biomedicina (IRB) Facoltà di scienze biomedice,Switzerland,,I3553
3553,EPFL - STI - GR-SCI-STI - SCI-STI-CD,Switzerland,EPF Lausanne - EPFL,I3554
3554,Redaktion des Schweizerdeutschen Wörterbuchs,Switzerland,"Non-profit organisations (libraries, museums, foundations) and administration - NPO",I3555
3555,Psychologisches Institut Universität Heidelberg,Germany,University of Berne - BE,I3556
3556,Geologisch-Paläontologisches Institut Universität Basel,Switzerland,ETH Zurich - ETHZ,I3557
3557,Wissenschaftszentrum Berlin für Sozialforschung,Germany,Institution abroad - Germany,I3558
3558,UNI: Universität Zürich-Irchel Dept. of Comp uter Sciences  Zürich CH,Switzerland,University of Zurich - ZH,I3559
3559,Institut Suisse prophylaxie alcoolisme,Switzerland,"Non-profit organisations (libraries, museums, foundations) and administration - NPO",I3560
3560,Department of Computer Science Electrical and Computer Engineering Carnegie Mellon University,United States of America,Institution abroad - United States of America,I3561
3561,Zentrum für Business Metrics Universität St. Gallen,Switzerland,University of St.Gallen - SG,I3562
3562,Institut 'Kulturen der Alpen',Switzerland,University of Basel - BS,I3563
3563,Department of Chemistry University of Massachusetts,United States of America,Institution abroad - United States of America,I3564
3564,Medical Imaging Processing Lab (MIP:LAB) Department of Radiology EPFL/University of Geneva,Switzerland,EPF Lausanne - EPFL,I3565
3565,Institut für Wirtschaftsrecht Universität Bern,Switzerland,University of Berne - BE,I3566
3566,Département de littérature comparée Faculté des lettres Université de Genève,Switzerland,University of Geneva - GE,I3567
3567,Institut de physique EPFL - SB - IPHYS,Switzerland,EPF Lausanne - EPFL,I3568
3568,Institut für Klinische Chemie UniversitätsSpital Zürich,Switzerland,University of Zurich - ZH,I3569
3569,Department of Immunology St. Jude Children's Research Hospital,United States of America,Institution abroad - United States of America,I3570
3570,"Division d'endocrinologie, diabétologie et du métabolisme Département de médecine interne - CHUV",Switzerland,,I3571
3571,Département des neurosciences fondamentales Faculté de Biologie et de Médecine Université de Lausanne,Switzerland,,I3572
3572,"UNI: University of Pennsylvania   Philadelph ia, PA USA",United States of America,Institution abroad - United States of America,I3573
3573,Labor für Nanoelektronik ETH Zürich,Switzerland,ETH Zurich - ETHZ,I3574
3574,Institut für Hirnforschung Universität Zürich,Switzerland,ETH Zurich - ETHZ,I3575
3575,UNI: Harvard School Public Health Dept of He alth Policy and Management  Boston USA,United States of America,Institution abroad - United States of America,I3576
3576,Chaire d'analyse géométrique EPFL - SB - IMB - CAG,Switzerland,EPF Lausanne - EPFL,I3577
3577,Service Radiologie CHUV,Switzerland,University of Lausanne - LA,I3578
3578,The Media Laboratory Massachusetts Institute of Technology,United States of America,Institution abroad - United States of America,I3579
3579,The Walter and Eliza Hall Institute of Medical Research,Australia,Institution abroad - Australia,I3580
3580,"Department of Chemistry, Biochemistry and Ph University of Bern",Switzerland,,I3581
3581,Department of Operations Research and Financial Engineering Princeton University,United States of America,Institution abroad - United States of America,I3582
3582,UNI: Schweizerisches Landesmuseum Sektion Ur - und Frühgeschichte  Zürich CH,Switzerland,"Non-profit organisations (libraries, museums, foundations) and administration - NPO",I3583
3583,Problem Lab. of Low Temp. Physics Physics Department Kharkov National University,Ukraine,ETH Zurich - ETHZ,I3584
3584,Institut für Biotechnologie ETH-Hönggerberg,Switzerland,University of Zurich - ZH,I3585
3585,Instituto de Física Teórica Facultad de Ciencias Universidad Autónoma de Madrid,Spain,Institution abroad - Spain,I3586
3586,Laboratoire de photonique et mesures quantiques EPFL - STI - IEL - LPQM2,Switzerland,EPF Lausanne - EPFL,I3587
3587,Abteilung Oberflächengewässer EAWAG,Switzerland,ETH Zurich - ETHZ,I3588
3588,Delft University of Technology Department of Biotechnology,Netherlands,Institution abroad - Netherlands,I3589
3589,Université de Neuchâtel,Switzerland,University of Neuchatel - NE,I3590
3590,NEAD Département de Psychologie Université de Genève,Switzerland,University of Applied Sciences and Arts Western Switzerland - HES-SO,I3591
3591,Klinik für Rheumatologie Universitätsspital Zürich,Switzerland,University of Zurich - ZH,I3592
3592,Laboratoire d'Urbanisme EPFL - ENAC - IA - Lab-U,Switzerland,EPF Lausanne - EPFL,I3593
3593,Computer Laboratory University of Cambridge,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I3594
3594,Ethik-Zentrum Universität Zürich,Switzerland,ETH Zurich - ETHZ,I3595
3595,"Department of Clinical Research, DKF Division of Cardiovascular Surgery University Hospital Bern, Insel",Switzerland,University of Fribourg - FR,I3596
3596,Institute for Computer Music and Sound Technology Zürcher Hochschule der Künste,Switzerland,Zurich University of the Arts - ZHdK,I3597
3597,Departement Materialwissenschaft ETH Zürich,Switzerland,Companies/  Private Industry - FP,I3598
3598,Infektiologie  Universitätsspital Zürich,Switzerland,University of Zurich - ZH,I3599
3599,Laboratoire de neurothérapies cellulaires et moléculaires CHUV,Switzerland,,I3600
3600,Institut für Organische Chemie Universität des Saarlandes,Germany,Institution abroad - Germany,I3601
3601,Klinik für Wiederkäuer Vetsuisse Universität Bern,Switzerland,University of Berne - BE,I3602
3602,Psychiatrische Universitätsklinik Zürich,Switzerland,,I3603
3603,Centre d'études et de recherches internationales (CERI),France,Institution abroad - France,I3604
3604,Scherberger's laboratory Neurobiology Deutsches Primatenzentrum,Germany,Institution abroad - Germany,I3605
3605,Department Plant Systems Biology University of Ghent/VIB,Belgium,Institution abroad - Belgium,I3606
3606,NEAD Département de Psychologie Université de Genève,Switzerland,University of Geneva - GE,I3607
3607,UNI: University of Florida   Gainesville USA,United States of America,Zurich University of Applied Sciences - ZHAW,I3608
3608,Centre de droit bancaire et financier Faculté de droit Université de Genève,Switzerland,University of Geneva - GE,I3609
3609,Institut romand des sciences bibliques(IRSB) Faculté de Théologie Université de Lausanne,Switzerland,University of Lausanne - LA,I3610
3610,"UNI: Harvard University   Cambridge, MA USA",United States of America,Institution abroad - United States of America,I3611
3611,UNI: Columbia University Department of Chemi stry  New York USA,United States of America,Institution abroad - United States of America,I3612
3612,School of Biological and Chemical Sciences Queen Mary University of London,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I3613
3613,National Oceanic and Atmospheric Administration Environment Technology Laboratory,United States of America,Institution abroad - United States of America,I3614
3614,Unité d'Espagnol Dépt de Langues et Littératures Romanes Université de Genève,Switzerland,University of Geneva - GE,I3615
3615,Chaire de Finance et Gouvernance d`Entreprise Université de Fribourg,Switzerland,University of Fribourg - FR,I3616
3616,"Büro für arbeits- und sozialpolitische Studien (Büro BASS), Bern",Switzerland,Companies/  Private Industry - FP,I3617
3617,J-M Blanc Consultants SA,Switzerland,Companies/  Private Industry - FP,I3618
3618,Christkath. u. Evangelisch-Theol. Fakultät Institut für historische Theologie Universität Bern,Switzerland,University of Basel - BS,I3619
3619,Institut de Génie Mécanique (IGM) - Gestion EPFL - STI - IGM-GE,Switzerland,,I3620
3620,Geschichte des Mittelalters Departement Historische Wissenschaften Universität Freiburg,Switzerland,University of Fribourg - FR,I3621
3621,"UNI: Rutgers University, Newark   Newark, NJ USA",United States of America,Institution abroad - United States of America,I3622
3622,Unité de Neuroimagerie Psychiatrique Hôpitaux Universitaires de Genève Clinique Belle-Idée,Switzerland,University of Geneva - GE,I3623
3623,UNI: Ruprecht-KarlsUniversitätch Fo   Heidel berg D,Germany,Institution abroad - Germany,I3624
3624,Comprehensive Cancer Center University of California UCSF,United States of America,Institution abroad - United States of America,I3625
3625,Warwick Business School University of Warwick,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I3626
3626,Abteilung Bildungssoziologie Institut für Erziehungswissenschaft Universität Bern,Switzerland,University of Berne - BE,I3627
3627,Insitut für Lehr- und Lernforschung Pädagogische Hochschule des Kt. St. Gallen,Switzerland,Pädagogische Hochschule St.Gallen - PHSG,I3628
3628,Watson Institute for International Studies Brown University,United States of America,Institution abroad - United States of America,I3629
3629,Department of Mathematical Sciences Northern Illinois University,United States of America,Institution abroad - United States of America,I3630
3630,The Peter Medawar Building for Pathogen Research University of Oxford,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I3631
3631,Laboratoire de systèmes d'information géographique EPFL - ENAC - IIE - LASIG,Switzerland,EPF Lausanne - EPFL,I3632
3632,UNI: Harvard Medical School Brigham and Woma n's Hospital  Boston USA,United States of America,Institution abroad - United States of America,I3633
3633,Département d'Oncologie Fondamentale Université de Lausanne,Switzerland,University of Lausanne - LA,I3634
3634,Institut für Pflanzenbau ETH Versuchsstation,Switzerland,ETH Zurich - ETHZ,I3635
3635,"Department of Biochemistry and Biophysics University of California, San Francisco",United States of America,Institution abroad - United States of America,I3636
3636,Boston University Dept. of Sociology,United States of America,Institution abroad - United States of America,I3637
3637,UNI: University of East Anglia Climatic Rese arch Unit  Norwich GB,Great Britain and Northern Ireland,University of Berne - BE,I3638
3638,CABI,Switzerland,"Non-profit organisations (libraries, museums, foundations) and administration - NPO",I3639
3639,Institut für klinisch- experimentelle Tumorforschung Tiefenauspital,Switzerland,University of Berne - BE,I3640
3640,Dep. of Biochemistry and Molecular Biology MD Anderson Cancer Center The University of Texas,United States of America,Institution abroad - United States of America,I3641
3641,Institute for Surgical Technology and Biomechanics Universität Bern,Switzerland,University of Berne - BE,I3642
3642,Institut für Pflanzenwissenschaften ETHZ,Switzerland,ETH Zurich - ETHZ,I3643
3643,The Labatt Family Heart Center Division of Cardiology University of Toronto,Canada,Institution abroad - Canada,I3644
3644,Schweiz. Osteuropabibliothek,Switzerland,"Non-profit organisations (libraries, museums, foundations) and administration - NPO",I3645
3645,"Dept of Environmental Science, Policy, & Management UC Berkeley",United States of America,,I3646
3646,Rätisches Kantons- und Regionalspital,Switzerland,Other Hospitals - ASPIT,I3647
3647,Faculty of Science and Medicine Section of Medicine Universität Freiburg,Switzerland,,I3648
3648,Etudes genre Faculté des Lettres Université de Lausanne,Switzerland,University of Lausanne - LA,I3649
3649,Laboratorio di Storia delle Alpi (LabiSAlp) Accademia di architettura Università della Svizzera italiana,Switzerland,Università della Svizzera italiana - USI,I3650
3650,UNI: The Weizmann Institute of Scie   Rehovo t IL,Israel,Institution abroad - Israel,I3651
3651,Institut für Anästhesiologie Universitätsspital Zürich,Switzerland,University of Zurich - ZH,I3652
3652,Departments of Pediatrics and Genetics Stanford University School of Medicine,United States of America,Institution abroad - United States of America,I3653
3653,UNI: Universität Budapest of Economic Scienc es  Budapest H,Hungary,Institution abroad - Hungary,I3654
3654,Centre d'histoire Sciences Po Fondation Nationale des Sciences Politiques,France,Institution abroad - France,I3655
3655,Laboratoire de gestion et procédés de production EPFL - STI - IPR - LGPP,Switzerland,EPF Lausanne - EPFL,I3656
3656,Institut for Dynamics and Self-Organization Complex Dynamics and Turbulence Max Planck Institut Göttingen,Germany,Institution abroad - Germany,I3657
3657,Laboratoire de programmation distribuée EPFL - IC - IINFCOM - LPD,Switzerland,EPF Lausanne - EPFL,I3658
3658,Faculté des Sciences Sociales et Politiques - ISS Université de Lausanne,Switzerland,University of Lausanne - LA,I3659
3659,UNI: ETH-Zürich Institut für Baustoffe  Züri ch CH,Switzerland,ETH Zurich - ETHZ,I3660
3660,Groupe SCI STI EC EPFL - SCI - STI - EC,Switzerland,EPF Lausanne - EPFL,I3661
3661,UNI: University of Washington   Seattle USA,United States of America,Institution abroad - United States of America,I3662
3662,Sportphysiologie Inst. für Bewegungs- und Sportwissenschaften ETH Zürich,Switzerland,University of Zurich - ZH,I3663
3663,Institut d'Histoire de la Médecine et de la Santé Université de Genève,Switzerland,University of Geneva - GE,I3664
3664,Laboratoire de systèmes non linéaires EPFL - IC - ISC - LANOS,Switzerland,EPF Lausanne - EPFL,I3665
3665,Abteilung für Bioinformatik Biozentrum der Universität Basel,Switzerland,University of Basel - BS,I3666
3666,Boston School of Nationalism Studies Inst for the Advancement of Social Sciences Boston University,United States of America,Institution abroad - United States of America,I3667
3667,Ecole des Hautes Etudes en Sciences Sociales CADIS,France,Institution abroad - France,I3668
3668,Laboratoire pour la microscopie et la diffusion d'électrons EPFL - SB - ICMP - LUMES,Switzerland,EPF Lausanne - EPFL,I3669
3669,Unité d'endocrinologie Département de médecine Université de Fribourg,Switzerland,University of Zurich - ZH,I3670
3670,ISERM- IAME - Descid Team Bichat University Hospital,France,,I3671
3671,Fachhochschule Nordwestschweiz,Switzerland,University of Applied Sciences and Arts Northwestern Switzerland (without UTE) - FHNW,I3672
3672,"Faculté des sciences économiques et sociales, Décanat Université de Genève",Switzerland,University of Geneva - GE,I3673
3673,CSCS - Centro Svizzero di Calcolo Scientifico ETH Zürich,Switzerland,ETH Zurich - ETHZ,I3674
3674,Departement Forschung und Neurologie Universitätsspital/Pharmazentrum,Switzerland,University of Basel - BS,I3675
3675,UNI: University of Massachusetts Dept of Phy sics and Astronomy  Amherst USA,United States of America,Institution abroad - United States of America,I3676
3676,UNI: Université de Montréal    CDN,Canada,Institution abroad - Canada,I3677
3677,Département de Biochimie Université de Lausanne,Switzerland,University of Lausanne - LA,I3678
3678,Vitrocentre Romont,,Other Research Institutes - FINST,I3679
3679,Rice University,United States of America,Institution abroad - United States of America,I3680
3680,Osservatorio Ticinese di SMA,Switzerland,"Non-profit organisations (libraries, museums, foundations) and administration - NPO",I3681
3681,UNI: Université de Tokyo   Dépt. J,Japan,Institution abroad - Japan,I3682
3682,"Department of Earth, Ocean and Ecological Sciences University of Liverpool",Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I3683
3683,Bell Laboratories Innovation for Lucent Technologies,United States of America,Institution abroad - United States of America,I3684
3684,Division of Biomedical Engineering School of Engineering University of Glasgow,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I3685
3685,Departement Geschichte Universität Basel,Switzerland,University of Zurich - ZH,I3686
3686,Institut für Zoologie und Limnologie Leopold-Franzens-Universität,Austria,Institution abroad - Austria,I3687
3687,Abteilung Tierschutz Vetsuisse Fakultät Universität Bern,Switzerland,University of Berne - BE,I3688
3688,Office des recherches archéologiques,Switzerland,"Non-profit organisations (libraries, museums, foundations) and administration - NPO",I3689
3689,Empa Mechanics for Modelling and Simulation,Switzerland,Swiss Federal Laboratories for Materials Science and Technology - EMPA,I3690
3690,School of Behavioural Science University of Melbourne,Australia,Institution abroad - Australia,I3691
3691,"Dept. of Electrical Engineering and Computer Science, University of Michigan College of Engineering,",United States of America,Institution abroad - United States of America,I3692
3692,UNI: Masarykova University Pedagogicka Kated ra  Brno TS,Czech Republic,University of Berne - BE,I3693
3693,Biotech Research & Innovation Centre University of Copenhagen,Denmark,Institution abroad - Denmark,I3694
3694,UNI: Georgetown University   Washington USA,United States of America,Institution abroad - United States of America,I3695
3695,UNI: Chulalonkorn University   Bangkok THA,Thailand,Institution abroad - Thailand,I3696
