GrantNumber,DisciplineNumber
G105359,D30904
G193927,D30407
G144037,D30401
G36437,D20503
G34396,D20506
G4266,D20404
G4266,D20508
G159073,D10202
G159073,D10206
G159073,D10301
G159073,D20511
G159073,D20709
G32428,D30108
G119320,D10203
G107296,D30305
G66813,D10502
G27047,D10105
G136503,D10405
G155180,D10105
G155180,D10204
G165539,D20401
G165539,D20404
G143697,D20404
G2668,D20409
G134386,D20801
G134386,D20803
G134386,D20805
G179450,D10105
G179450,D30708
G163405,D20200
G4649,D20401
G129538,D20503
G129538,D20705
G66223,D20401
G61844,D30202
G8944,D30718
G8944,D30808
G127314,D10102
G127314,D10502
G107725,D10402
G61269,D10201
G26716,D10205
G104944,D10205
G164164,D10102
G164164,D10103
G164164,D10201
G164164,D10205
G164164,D10301
G6564,D30304
G192843,D10406
G192843,D10501
G6407,D30306
G117443,D20703
G117443,D20709
G43992,D20304
G31217,D20304
G67972,D20304
G40316,D30101
G134769,D20404
G134769,D20409
G203539,D10201
G203539,D10203
G203539,D30205
G203539,D30206
G203539,D30207
G54072,D10501
G201415,D10205
G116398,D10203
G156812,D30103
G25444,D10302
G63935,D10102
G26847,D20304
G10377,D30911
G174828,D20100
G174828,D20709
G25410,D20301
G2712,D20301
G6966,D30000
G5703,D30302
G179154,D20303
G179154,D20501
G179154,D20505
G179154,D20709
G179154,D20801
G179154,D20806
G199593,D30201
G30284,D20401
G130897,D10303
G130897,D10503
G6754,D30105
G59294,D30702
G110178,D30101
G135395,D20704
G45832,D10205
G20613,D10503
G67994,D10406
G59099,D0
G144487,D10302
G126416,D20506
G189741,D30105
G43029,D10502
G132457,D20301
G166125,D10201
G66752,D20304
G102106,D30105
G102106,D30801
G107372,D20511
G7511,D30201
G166098,D10605
G166098,D20709
G42366,D30403
G1150,D10201
G120140,D10405
G41537,D10502
G140583,D20100
G140583,D20506
G159445,D10105
G1791,D10201
G192831,D10201
G192831,D10407
G44033,D20401
G185530,D20100
G185530,D20511
G5829,D30407
G181901,D10105
G181901,D30802
G53038,D20406
G177635,D10101
G177635,D10102
G177635,D10201
G177635,D10205
G177635,D10207
G177635,D10501
G50729,D20301
G47068,D10202
G37321,D20404
G183602,D30306
G183602,D30403
G183602,D30708
G137095,D30302
G137095,D30402
G190659,D10203
G190659,D20401
G164303,D20505
G164303,D20511
G164303,D30103
G164303,D30702
G164303,D30714
G164303,D30806
G119101,D30403
G119101,D30718
G105512,D20404
G42601,D30204
G138161,D10404
G146895,D10204
G144600,D10104
G144600,D10105
G144600,D10201
G196797,D10503
G196797,D10607
G30925,D20409
G112579,D20100
G20682,D20409
G193592,D10104
G163262,D30808
G163262,D30812
G163262,D30909
G163262,D30911
G15426,D10402
G186090,D20506
G48050,D20301
G25975,D10202
G6980,D30304
G110118,D10202
G202507,D20702
G101988,D30301
G40840,D10302
G154937,D10105
G198669,D20301
G192718,D10204
G169808,D20505
G169808,D30714
G150447,D10404
G150447,D10503
G26668,D10201
G121617,D10202
G108028,D10205
G15127,D10103
G103553,D20304
G186732,D30708
G111908,D20505
G143883,D20100
G143883,D30102
G143883,D30104
G143883,D30401
G47026,D20506
G26388,D30401
G125236,D10404
G125236,D10407
G112788,D10301
G28578,D30302
G56735,D20301
G199160,D30401
G126245,D30103
G126245,D30105
G126245,D30303
G116038,D20502
G116038,D20505
G182875,D10201
G117115,D20505
G117115,D20511
G117115,D30103
G117115,D30714
G125287,D20100
G140286,D10204
G157126,D30205
G157126,D30206
G157126,D30207
G163387,D20404
G146495,D20504
G146495,D30714
G6245,D30202
G176996,D20200
G176996,D20401
G170360,D20304
G170360,D20505
G121989,D20301
G121989,D20303
G103055,D20304
G190826,D20505
G2723,D20303
G112106,D30207
G61393,D20704
G134023,D10301
G134023,D10404
G134023,D10407
G197524,D10105
G197524,D30701
G197524,D30708
G197524,D30715
G28059,D10205
G58421,D30715
G47229,D30104
G4823,D20402
G4823,D20406
G192847,D10405
G42960,D10205
G150935,D20200
G105880,D30702
G105880,D30809
G168336,D10101
G168336,D10102
G168336,D10103
G121096,D10103
G10834,D20505
G206179,D30403
G31233,D20200
G124845,D10204
G124845,D10207
G124845,D10501
G8737,D30101
G56784,D10105
G172891,D10206
G27140,D20301
G121747,D20301
G121747,D20304
G3993,D20100
G167123,D20511
G167123,D30307
G130978,D10203
G130978,D20100
G34231,D20801
G34231,D20802
G186488,D10101
G186488,D10201
G186488,D10202
G186488,D10206
G186488,D10301
G186488,D10403
G101945,D30801
G8198,D30202
G126007,D30102
G184082,D10207
G167716,D10301
G152740,D20701
G152740,D30107
G152740,D30207
G201424,D30307
G122386,D10204
G67573,D20301
G140819,D10104
G122320,D10205
G125829,D10104
G66700,D20506
G3055,D20501
G2851,D20303
G29105,D30716
G9073,D30102
G186461,D10105
G186461,D30302
G154157,D30101
G154157,D30201
G154157,D30205
G154157,D30206
G154157,D30207
G1589,D10206
G1589,D10302
G119584,D30101
G119584,D30102
G119584,D30104
G119584,D30401
G111934,D20200
G150213,D10302
G150213,D10501
G146707,D10405
G189044,D30305
G189044,D30402
G189044,D30701
G189044,D30717
G662,D10402
G179116,D20502
G179116,D20504
G179116,D20506
G179116,D30805
G172782,D20504
G172782,D20506
G154641,D30302
G134208,D30102
G134208,D30401
G33419,D20505
G30444,D10205
G192047,D20404
G192047,D20505
G64209,D30000
G135307,D20704
G199763,D10105
G100806,D30104
G100806,D30205
G171592,D10202
G171592,D10204
G171592,D10205
G171592,D10207
G171592,D10602
G171592,D10605
G4319,D20404
G176352,D10201
G126012,D20705
G43424,D10301
G133099,D30303
G111020,D20200
G111020,D20403
G100332,D10301
G145316,D20100
G145316,D20502
G145316,D20503
G157295,D10102
G157295,D10501
G68304,D30702
G40620,D20505
G28630,D30714
G8075,D30102
G8075,D30403
G191846,D20301
G191846,D20505
G129960,D20508
G140958,D20405
G140958,D20506
G140958,D20511
G140958,D30703
G119828,D30403
G58943,D20304
G56713,D30707
G32395,D30108
G185585,D20801
G50332,D20200
G41499,D20506
G1157,D10405
G35651,D30107
G163180,D30104
G30127,D30401
G2265,D10102
G122690,D10204
G122410,D10601
G109767,D20304
G141574,D10104
G141574,D10105
G105838,D30709
G105838,D30811
G190808,D30102
G190808,D30401
G140964,D30103
G140964,D30306
G140964,D30403
G140964,D30718
G114218,D30101
G114218,D30103
G114218,D30108
G143320,D10201
G4479,D20705
G168476,D30302
G168476,D30402
G37875,D20406
G137715,D20705
G137715,D20803
G42812,D10403
G5989,D30201
G25847,D30716
G186811,D30107
G111880,D20200
G173369,D10101
G173369,D10201
G173369,D10301
G173369,D10404
G173369,D10501
G173369,D10502
G120019,D20401
G120019,D20403
G167577,D20304
G167577,D30107
G151939,D10404
G127608,D30708
G203017,D20100
G203017,D30207
G115011,D10204
G115011,D20506
G205991,D20501
G135896,D10202
G135896,D10203
G49018,D20303
G179626,D10102
G47985,D10104
G47985,D10501
G162990,D20100
G112432,D30303
G66610,D10301
G52995,D10202
G1592,D10201
G152917,D20705
G152917,D20801
G152917,D20802
G146492,D10301
G146492,D10405
G42554,D30714
G203988,D10301
G203988,D10302
G105463,D20507
G204849,D30201
G204849,D30207
G103914,D10501
G4761,D20806
G161784,D10101
G161784,D10205
G194772,D10105
G190296,D20506
G159395,D10105
G56717,D30402
G44244,D10202
G8185,D30101
G146112,D20401
G146112,D20506
G146112,D30108
G146112,D30302
G170341,D10301
G170341,D10302
G27360,D30705
G30387,D30306
G25278,D20705
G124167,D30202
G140091,D30808
G41796,D20200
G142780,D20504
G170280,D10205
G170280,D30307
G159511,D10204
G35686,D10203
G180238,D20100
G180238,D20200
G180238,D50000
G105506,D20801
G154668,D20404
G108309,D30102
G108309,D30715
G181433,D10207
G4108,D20404
G166412,D30104
G166412,D30307
G63904,D10104
G157929,D10102
G157929,D10103
G157929,D10301
G157929,D10302
G186332,D20304
G186332,D30101
G186332,D30102
G186332,D30401
G186332,D50000
G59136,D20506
G50738,D20503
G112572,D10101
G197988,D30303
G112437,D20303
G112437,D20304
G112437,D30101
G112437,D30306
G28166,D10203
G117847,D20502
G27577,D20805
G175878,D10104
G175878,D10105
G175878,D10605
G2667,D20100
G158889,D20404
G158889,D20504
G110260,D10104
G110260,D10501
G110260,D10502
G197258,D20801
G197258,D20803
G197258,D20806
G177230,D10101
G177230,D10205
G124780,D20503
G124780,D20705
G124780,D20706
G58864,D20100
G112835,D30108
G112835,D30302
G41269,D20303
G178807,D20100
G67280,D30102
G142103,D10101
G142103,D10301
G142103,D10404
G142103,D10405
G142103,D10406
G128269,D20301
G128269,D20404
G109316,D20304
G37391,D10402
G166735,D30302
G43404,D20100
G131265,D20509
G131265,D20701
G131265,D20709
G131265,D30102
G131265,D30205
G2383,D10501
G129607,D20506
G64243,D10302
G64243,D10502
G63584,D20304
G139119,D20200
G139119,D20409
G134963,D30303
G134963,D30402
G200710,D10207
G200710,D10406
G29297,D10202
G165207,D30714
G105253,D10402
G105253,D10404
G3028,D20200
G150119,D10206
G150119,D10301
G150119,D10302
G204597,D10204
G59390,D20304
G182328,D30715
G44794,D10104
G105163,D20404
G143269,D20304
G42261,D20506
G118905,D30702
G139019,D10302
G139019,D10601
G40810,D10105
G117610,D20404
G126251,D30403
G52406,D10205
G139375,D20704
G132154,D20705
G199134,D30102
G155111,D30102
G155111,D30103
G155111,D30104
G155111,D30105
G40702,D10403
G59442,D30207
G205526,D10105
G157085,D20303
G139601,D10105
G139601,D10201
G170726,D20409
G170726,D20709
G181668,D10201
G181668,D10601
G128954,D10104
G128954,D10603
G133805,D30101
G133805,D30102
G133805,D30103
G133805,D30108
G8368,D30401
G63418,D30102
G101357,D20303
G2762,D20705
G125709,D10502
G6727,D30301
G188002,D20301
G188002,D20303
G5208,D20505
G121424,D10404
G34105,D20511
G45086,D10502
G148549,D10101
G105220,D20804
G4517,D20304
G205912,D10202
G205912,D10203
G205912,D20702
G205912,D20705
G205912,D20709
G205912,D20801
G205912,D50000
G110574,D20100
G154085,D10404
G34538,D30102
G105770,D30403
G131064,D10601
G29591,D20801
G154563,D20506
G154563,D30102
G154563,D30104
G145898,D20506
G6458,D30704
G203195,D20502
G203195,D20505
G203195,D20511
G203195,D30108
G35302,D10104
G7852,D30103
G7852,D30712
G149809,D20506
G141113,D30305
G3734,D20402
G154383,D10105
G5521,D20303
G118637,D10205
G3935,D20303
G58288,D20700
G198094,D20709
G198094,D30206
G127372,D10202
G105018,D10101
G168105,D20709
G127230,D10202
G168887,D10405
G168887,D10604
G147866,D10104
G147866,D10105
G147866,D10201
G147866,D10501
G147866,D20506
G147988,D30104
G147988,D30703
G69341,D30811
G32489,D30104
G206980,D30102
G65673,D30403
G118623,D10101
G108572,D10403
G153850,D10203
G153850,D10204
G153850,D20511
G61266,D30207
G6649,D30302
G56175,D10104
G135060,D10105
G135060,D30706
G178952,D20301
G124183,D10603
G63499,D10303
G191110,D20506
G7198,D30306
G7198,D30407
G32779,D20404
G179472,D30102
G179472,D30104
G175234,D30104
G175234,D30105
G193934,D10201
G181117,D20401
G181117,D20402
G181117,D20403
G58270,D10206
G58270,D10407
G189177,D20802
G189177,D20809
G176148,D10301
G176148,D10404
G186073,D20403
G181141,D10105
G1776,D10402
G156637,D20404
G25689,D30201
G140459,D20802
G193621,D30706
G193621,D30717
G5061,D20511
G4251,D20806
G26031,D30711
G103526,D20805
G20850,D20402
G153927,D20501
G153927,D20705
G177283,D20505
G177283,D20507
G177283,D20709
G158732,D10201
G158732,D10207
G158732,D10601
G6829,D30911
G192942,D30403
G9175,D30108
G125349,D30101
G125349,D30102
G125349,D30103
G117946,D20506
G7219,D30102
G7219,D30403
G1606,D10402
G1606,D10404
G161341,D20100
G161341,D20403
G127142,D20301
G147740,D20803
G147740,D20804
G147740,D20806
G171755,D20702
G171755,D20705
G171755,D20802
G171755,D20809
G41867,D10205
G150816,D30702
G150816,D30703
G150816,D30707
G150816,D30708
G150816,D30714
G108191,D20506
G3076,D20303
G182519,D30101
G195163,D10202
G115519,D10602
G108894,D30106
G108894,D30401
G108894,D30703
G933,D10101
G4321,D20404
G100275,D20705
G211137,D10201
G211137,D10205
G124732,D30403
G10741,D10203
G100007,D20505
G50558,D20805
G10702,D10000
G59818,D10302
G166594,D30402
G166594,D30403
G3771,D20507
G168981,D30307
G147699,D10301
G147699,D10402
G147699,D10403
G147699,D10404
G147699,D10502
G36526,D20100
G4963,D20404
G50765,D30302
G28649,D10202
G61707,D20100
G200207,D10204
G200207,D20506
G66768,D20506
G135657,D30403
G40143,D30105
G116231,D10604
G123680,D10201
G130829,D30102
G68170,D20403
G206145,D30102
G206145,D30103
G206145,D30202
G206145,D30302
G206145,D30305
G33147,D20700
G27938,D20303
G53256,D30101
G178934,D10601
G178934,D20100
G202484,D10205
G4349,D20805
G147725,D10201
G147725,D10203
G147725,D10206
G192652,D30403
G192652,D30718
G184433,D30101
G184433,D30103
G180692,D10301
G186591,D10104
G153121,D20506
G59961,D10205
G396,D10101
G146463,D30101
G146463,D30103
G103171,D10205
G113128,D30103
G113128,D30403
G7383,D30708
G1556,D10302
G171951,D20100
G195212,D20100
G116023,D20301
G116023,D20404
G180730,D10105
G125536,D20505
G125536,D30201
G125536,D30206
G125536,D30207
G53786,D10301
G45348,D20506
G26029,D10205
G133325,D10303
G133325,D10503
G56438,D20501
G657,D10403
G159900,D20403
G141193,D30402
G33608,D30407
G163540,D10502
G157004,D20506
G103406,D10303
G134214,D10502
G153145,D30101
G153145,D30102
G153145,D30108
G10698,D10000
G50693,D20709
G55111,D20511
G30645,D30104
G202421,D10105
G194048,D20404
G134527,D10101
G102606,D20703
G100823,D30302
G100823,D30708
G207021,D10207
G175660,D20511
G175660,D30809
G161610,D10204
G57819,D30107
G141626,D10201
G141626,D10205
G141626,D10301
G141626,D10501
G8184,D30302
G190912,D10205
G190912,D10607
G152151,D10403
G164786,D30202
G164786,D30207
G41885,D20803
G66844,D30702
G124907,D30102
G59503,D30804
G121415,D10202
G121415,D10206
G5921,D30204
G52638,D30301
G32808,D20404
G141952,D10101
G141952,D10104
G141952,D10201
G141952,D10202
G141952,D10206
G141952,D10403
G141952,D10502
G141952,D10601
G141952,D10602
G40712,D30103
G40712,D30402
G172457,D10102
G172457,D10303
G119763,D30101
G119763,D30102
G119763,D30103
G119763,D30304
G494,D10402
G165403,D20301
G165403,D20402
G52967,D30102
G52967,D30712
G100183,D10303
G63732,D30103
G129021,D30806
G129021,D30812
G65498,D20404
G8412,D30103
G43183,D20304
G158380,D30302
G49210,D30402
G49210,D30403
G166486,D30302
G166486,D30407
G166486,D30720
G139550,D30101
G139550,D30102
G139550,D30103
G139550,D30104
G139550,D30105
G139550,D30107
G139550,D30108
G141501,D30303
G6260,D30302
G203676,D30105
G58916,D30718
G140479,D20301
G140479,D20404
G35481,D10203
G62585,D20404
G191590,D10205
G207864,D10104
G207864,D10605
G155889,D20701
G4050,D20505
G30281,D20702
G140575,D10301
G140575,D10302
G140575,D20100
G130441,D30101
G130441,D30102
G130441,D30103
G130441,D30104
G130441,D30105
G206177,D30911
G159925,D20100
G121257,D20404
G44502,D30707
G44502,D30718
G201878,D20401
G201878,D20403
G10671,D10203
G32169,D20506
G189182,D20404
G189182,D20405
G189182,D20505
G135360,D30103
G135360,D30302
G32710,D30102
G202477,D20303
G202477,D20304
G166663,D30101
G181743,D30302
G207496,D20200
G207496,D20401
G66949,D30102
G147367,D10202
G147367,D10207
G7518,D30101
G43383,D20301
G153342,D30102
G153342,D30103
G153342,D30107
G153342,D30402
G153342,D30801
G101603,D20200
G132907,D30102
G132907,D30104
G155672,D10101
G100944,D10601
G113889,D30104
G6417,D30101
G5137,D20805
G45287,D20506
G179527,D30102
G179527,D30302
G208007,D10403
G208007,D10502
G184003,D30202
G135961,D10101
G135961,D10102
G135961,D10202
G135961,D10301
G135961,D10302
G112563,D20705
G112563,D20803
G112563,D30107
G164377,D10501
G143983,D10403
G122166,D30302
G4825,D20303
G30783,D30717
G182944,D10404
G182944,D10502
G181271,D10206
G144074,D30304
G144074,D30305
G157655,D20511
G157655,D30402
G33741,D30303
G67711,D20404
G131022,D10105
G131022,D30101
G131022,D30102
G131022,D30104
G131022,D30302
G131022,D30304
G131022,D30403
G1789,D10105
G35653,D30202
G155891,D20409
G155891,D20705
G155891,D20706
G155891,D20709
G155891,D20802
G155891,D20803
G150579,D20409
G33944,D20705
G5895,D30102
G126330,D20709
G126330,D30107
G45011,D20511
G126603,D10203
G197126,D10204
G149866,D20506
G129928,D20404
G42974,D10501
G5245,D20401
G103013,D10203
G103013,D10204
G101937,D20802
G148146,D10501
G148146,D10502
G148146,D10503
G39215,D20403
G125478,D30302
G125478,D30306
G152397,D20303
G152397,D20404
G143341,D10105
G198832,D30102
G147818,D10301
G208861,D10301
G100891,D30908
G150154,D10104
G161270,D20301
G161270,D20304
G4083,D20303
G34060,D20702
G130121,D20506
G145984,D10503
G7960,D30715
G146809,D20304
G146809,D20507
G146809,D30101
G6965,D30104
G29996,D30716
G108510,D30401
G108510,D30707
G106926,D10201
G183294,D20704
G137200,D30108
G137200,D30302
G201458,D50000
G102278,D10207
G190056,D10201
G190056,D10202
G2070,D10403
G149663,D20200
G149663,D20704
G3163,D20406
G125106,D10204
G125106,D20100
G121988,D30101
G121988,D30103
G107931,D20506
G133265,D20703
G133265,D20705
G150217,D10302
G150217,D10404
G150217,D20501
G166625,D30101
G166625,D30302
G166625,D30304
G166625,D30305
G142044,D20504
G142044,D30302
G3376,D20505
G30353,D30703
G141657,D10104
G129321,D10201
G129321,D10202
G117097,D10202
G117097,D10203
G202550,D30104
G202550,D30401
G202550,D30706
G125212,D30101
G125212,D30102
G203064,D10105
G36098,D10501
G132382,D20304
G132382,D20505
G206406,D10101
G20054,D10203
G111282,D10104
G4447,D20404
G59431,D30202
G207018,D20805
G197145,D20505
G101436,D20404
G25385,D20401
G46025,D10503
G193061,D0
G52314,D10501
G6637,D30301
G200077,D10205
G200077,D10301
G42500,D30302
G108944,D10404
G62626,D20700
G198612,D20404
G198612,D20505
G198612,D20506
G198612,D20508
G198612,D50000
G103463,D20401
G43640,D30802
G152118,D20505
G152118,D20508
G152118,D20511
G122160,D20409
G122160,D20505
G140315,D20100
G140315,D20511
G135308,D20506
G119923,D10502
G10350,D30911
G55546,D20506
G182046,D20303
G182046,D20304
G159624,D10301
G66850,D10301
G158369,D10203
G63976,D20505
G4463,D20409
G174433,D10301
G174433,D10503
G135914,D30202
G135914,D30206
G135914,D30207
G183443,D20304
G183443,D30101
G108034,D20304
G26325,D10102
G29926,D30104
G67988,D30401
G193896,D30107
G201338,D10105
G201338,D10601
G155682,D10101
G156353,D10502
G124810,D10604
G124810,D20506
G106940,D10104
G139768,D10501
G199040,D10105
G166287,D20709
G166287,D20803
G164111,D10501
G118180,D10205
G202445,D10105
G56764,D10502
G190697,D20506
G190697,D30708
G63945,D30105
G146916,D10204
G1436,D10404
G208347,D10602
G208347,D10603
G208347,D20409
G208347,D20501
G208347,D20709
G208347,D30302
G208347,D30305
G203261,D20403
G49665,D30105
G28821,D30305
G174885,D30102
G174885,D30305
G124100,D10205
G50660,D30302
G41873,D30107
G204335,D30102
G204335,D30107
G143482,D30107
G143482,D30808
G61663,D20404
G15112,D10404
G205631,D30802
G116416,D10201
G25682,D30102
G159957,D20100
G159957,D20503
G107507,D30201
G15111,D10404
G120038,D20506
G3043,D20100
G189514,D10501
G189514,D10607
G193425,D20301
G193425,D20304
G125512,D10301
G125512,D10404
G174098,D10102
G137583,D10105
G137583,D10203
G137583,D20100
G137583,D20401
G118873,D20801
G201397,D30911
G3429,D20304
G143707,D20100
G143707,D30302
G143347,D10101
G143347,D10205
G178906,D10605
G178906,D30910
G33965,D30104
G130922,D10301
G130922,D10401
G130922,D10402
G130922,D10403
G130922,D10404
G130922,D10407
G38856,D30102
G207297,D20303
G191037,D30701
G191037,D30715
G182637,D30105
G182637,D30303
G182637,D30305
G206273,D10201
G206273,D10404
G206273,D10407
G139398,D30713
G139398,D30808
G147592,D10501
G147592,D10503
G156247,D10104
G156247,D10502
G156247,D10607
G105815,D30108
G105815,D30305
G67176,D30303
G111340,D30103
G111340,D30105
G33912,D20801
G129515,D20506
G6837,D30707
G25865,D20303
G135919,D30305
G115920,D20501
G115920,D20505
G64821,D30207
G39143,D20705
G26545,D10404
G34292,D20508
G135697,D30105
G206802,D10301
G191755,D30721
G156746,D20505
G156746,D20508
G40255,D10301
G36066,D30107
G49517,D20403
G26664,D30102
G179570,D30403
G157951,D10104
G157951,D10201
G157951,D10206
G157951,D10407
G29490,D30718
G166441,D30101
G166441,D30102
G166441,D30103
G166441,D30105
G166441,D30108
G161566,D20505
G161566,D30103
G37690,D10103
G205439,D20705
G144253,D20501
G3982,D20100
G67917,D20506
G113944,D20702
G193608,D20301
G30913,D30106
G30913,D30401
G5093,D20704
G26254,D30401
G182124,D20705
G182124,D30206
G182124,D30207
G206105,D30104
G15277,D10302
G40719,D30105
G6182,D30102
G5861,D30101
G122836,D30101
G122836,D30102
G122836,D30103
G135999,D30401
G33173,D10502
G130648,D10203
G120357,D10202
G173400,D10101
G173400,D10104
G1986,D10204
G135726,D30207
G107694,D20801
G50769,D20501
G39395,D20503
G191432,D10205
G174966,D10202
G197827,D30104
G197827,D30302
G179004,D10201
G179004,D10604
G43405,D30101
G194050,D20409
G27958,D20200
G130082,D20301
G59720,D10203
G202438,D20801
G200196,D10403
G200196,D10602
G133475,D10301
G133475,D10302
G9405,D30205
G27099,D20801
G194817,D30104
G117815,D20404
G149436,D20502
G149436,D20505
G149436,D20506
G6505,D30101
G6505,D30107
G134975,D10104
G151705,D30305
G151705,D30402
G151705,D30811
G151705,D30812
G151705,D30905
G26493,D10105
G3620,D20200
G154350,D20504
G66437,D10502
G68450,D10205
G166172,D10202
G112243,D10603
G163946,D30102
G163946,D30103
G163946,D30104
G163946,D30105
G120199,D10301
G177634,D10301
G177634,D10302
G5234,D20304
G197699,D30306
G197699,D30307
G46305,D10407
G46090,D30107
G166695,D30305
G134027,D10102
G3604,D20801
G153428,D30206
G179062,D20502
G2726,D20304
G65926,D20803
G46577,D30403
G125314,D30201
G125314,D30206
G125314,D30207
G145668,D30102
G145668,D30104
G145668,D30712
G145668,D30808
G196906,D30403
G196906,D30808
G67388,D20200
G193804,D30808
G4998,D20404
G155281,D10201
G118677,D10102
G3261,D20304
G108569,D10101
G108569,D10503
G142795,D10102
G142795,D10103
G142795,D10301
G142795,D10503
G193709,D20506
G28246,D20404
G3185,D20304
G103922,D20506
G103922,D30101
G103922,D30102
G61782,D30403
G113977,D30205
G113977,D30206
G113977,D30207
G143220,D10301
G143220,D10302
G143220,D10502
G204644,D10206
G204644,D10601
G163631,D10102
G170817,D30202
G170817,D30207
G100616,D20801
G206668,D30302
G109618,D30102
G109618,D30201
G160006,D30103
G25079,D20404
G176189,D30107
G135808,D30107
G49912,D10402
G132764,D20200
G31175,D10203
G64139,D30104
G144024,D20701
G161780,D10202
G4316,D20402
G4316,D20403
G105195,D20506
G113595,D20504
G113595,D20709
G113595,D30802
G113595,D30812
G131213,D20704
G131213,D30205
G10986,D10205
G37807,D30202
G8440,D30105
G9439,D30301
G171114,D10201
G171114,D10207
G171114,D10602
G171114,D10603
G149762,D30808
G120914,D10205
G132695,D20511
G124610,D10205
G151210,D10501
G151210,D10503
G44921,D10203
G182499,D30107
G182499,D30207
G2063,D10201
G57280,D30402
G44397,D10404
G174371,D30104
G174371,D30302
G174371,D30304
G102380,D10407
G140168,D10404
G140168,D10406
G158471,D20304
G158471,D20507
G158471,D20508
G180802,D20303
G180802,D20304
G180802,D30101
G154996,D10301
G154996,D10302
G154996,D10502
G154996,D10603
G154996,D10604
G168689,D30101
G168689,D30102
G168689,D30104
G168689,D30307
G8470,D30000
G195576,D10206
G173568,D10105
G173568,D10201
G111876,D10501
G1386,D10205
G34593,D20505
G34011,D30102
G26747,D10101
G117031,D10101
G117031,D10201
G198418,D30802
G198418,D30911
G859,D10205
G107422,D20303
G44849,D10302
G191217,D30102
G7885,D30103
G7885,D30201
G44756,D20701
G146440,D20805
G146440,D30203
G175690,D10103
G175690,D10302
G169822,D10104
G169822,D10105
G101359,D10202
G32117,D20304
G123119,D10203
G29041,D10206
G168506,D30302
G137058,D30105
G137058,D30201
G137058,D30207
G112014,D20501
G2211,D10302
G25910,D20304
G155413,D10203
G155413,D10204
G155413,D10207
G122124,D20506
G185155,D30401
G122527,D30302
G195102,D30104
G195102,D30402
G192493,D30101
G192493,D30102
G56541,D10205
G204898,D10101
G204898,D30302
G117159,D10501
G37213,D0
G49754,D30102
G49754,D30302
G184635,D20301
G184635,D20505
G6387,D30305
G126798,D20401
G204986,D10104
G204986,D10403
G172901,D10203
G173178,D30202
G173178,D30207
G37108,D30101
G45170,D30401
G173924,D20200
G173924,D20506
G173924,D20809
G144022,D30302
G144974,D10401
G144974,D10402
G144974,D20301
G144974,D20701
G144974,D20704
G144974,D20705
G144974,D20709
G144974,D20802
G144974,D20803
G144974,D20804
G144974,D20805
G144974,D20806
G144974,D20809
G144974,D30205
G144974,D30206
G109157,D10402
G191081,D30102
G191081,D30104
G191081,D30401
G176402,D30103
G176402,D30105
G32195,D30105
G32195,D30403
G57428,D10104
G190044,D20301
G3024,D20301
G3891,D20803
G63464,D20100
G180786,D20200
G180786,D20803
G189506,D30107
G121612,D10301
G121612,D10403
G102590,D10405
G182417,D30402
G182417,D30403
G831,D10402
G64020,D30302
G64020,D30306
G117389,D20303
G114238,D30102
G114238,D30201
G129215,D10101
G129215,D10202
G129215,D10205
G145606,D10203
G145606,D10301
G30667,D20805
G28409,D20404
G111494,D20501
G181902,D20100
G46918,D20401
G108863,D20301
G117585,D10102
G129016,D30104
G129016,D30304
G129016,D30704
G109257,D20501
G186286,D30107
G7624,D30717
G130070,D30101
G130070,D30102
G130070,D30304
G9247,D30717
G169122,D20501
G196455,D30101
G196455,D30302
G6309,D30703
G203283,D10105
G203283,D10605
G62401,D30103
G105505,D20803
G61585,D10301
G188753,D10605
G188753,D20506
G192926,D10104
G192926,D10203
G192926,D10206
G192926,D20709
G192926,D30104
G192926,D30201
G192926,D30202
G192926,D30203
G192926,D30205
G192926,D30206
G192926,D30207
G144463,D20505
G145377,D30202
G145377,D30207
G64965,D10402
G149339,D10603
G149339,D10604
G165226,D20504
G165226,D20506
G192673,D30207
G6076,D30707
G116163,D20505
G116163,D30307
G57,D10302
G154396,D30102
G154396,D30104
G154396,D30107
G154396,D30202
G154396,D30207
G2948,D20505
G203164,D30401
G203164,D30403
G64889,D10105
G53607,D30102
G181840,D20511
G104996,D30102
G25518,D10105
G25670,D30107
G135401,D20100
G208856,D10406
G198916,D10202
G198916,D10204
G198916,D10207
G179241,D10105
G179241,D30708
G3874,D20303
G150053,D20100
G150053,D20506
G163547,D10203
G202532,D10102
G2025,D10203
G128235,D30102
G198487,D20701
G173672,D30707
G187658,D30708
G150740,D20404
G150740,D20409
G42049,D20401
G30006,D10102
G158543,D30710
G158543,D30812
G34114,D20508
G108871,D10201
G618,D10105
G36365,D20506
G159084,D20502
G125259,D20506
G154142,D10406
G5235,D20304
G170953,D10503
G133758,D10202
G65168,D30718
G65168,D30808
G179776,D30101
G179776,D30102
G179776,D30104
G179776,D30105
G179776,D30108
G179776,D30202
G179776,D30205
G179776,D30207
G143264,D10406
G136235,D10205
G2395,D10205
G15398,D10303
G135938,D10502
G191930,D20401
G164928,D20303
G164928,D30401
G164907,D30708
G164907,D30802
G143406,D20504
G143406,D20506
G1090,D10501
G194276,D10101
G194276,D10105
G194276,D10201
G194276,D10205
G194276,D10403
G194276,D10602
G2992,D20802
G175759,D20506
G66481,D10302
G66481,D10501
G180788,D30401
G180788,D30714
G180788,D30805
G123982,D10602
G30119,D30804
G171910,D10605
