GrantNumber,DisciplineNumber
G140287,D10501
G135144,D20100
G64718,D10105
G46342,D30706
G177990,D10301
G43056,D20303
G43056,D20803
G154601,D10303
G154601,D10402
G57373,D30104
G105011,D10105
G105011,D30910
G183989,D10605
G183989,D30710
G183989,D30905
G35861,D10301
G184555,D20100
G155534,D30104
G155534,D30302
G27739,D30401
G8297,D30707
G123339,D30103
G123339,D30104
G123339,D30105
G123339,D30202
G200000,D20803
G200000,D20805
G140778,D30102
G69111,D10000
G146160,D10102
G160507,D10203
G36399,D20506
G146215,D30403
G105823,D30105
G105159,D20401
G113597,D30101
G113597,D30102
G113597,D30103
G113597,D30106
G113597,D30401
G113597,D30907
G20137,D30305
G148361,D30102
G43169,D30102
G43169,D30303
G50740,D30407
G209180,D20505
G6569,D30708
G124414,D20704
G182221,D10105
G182221,D30708
G170268,D30302
G194003,D10202
G194003,D10203
G194003,D10602
G194003,D30812
G194003,D30906
G194003,D30911
G204055,D10603
G51556,D20403
G66726,D10104
G143715,D20511
G143715,D30302
G143715,D30708
G143715,D30714
G143715,D30905
G31834,D10502
G199093,D10105
G199093,D10605
G181595,D20502
G181595,D20504
G181595,D20505
G181595,D30714
G41915,D30403
G134052,D30706
G179775,D30401
G179775,D30403
G28098,D10101
G150780,D20200
G144319,D10203
G144319,D10204
G109363,D10101
G186865,D20511
G30738,D20200
G32376,D30716
G169551,D10601
G134462,D30102
G134462,D30302
G236,D10103
G67922,D20403
G143043,D10404
G131867,D20301
G131867,D20303
G6232,D30402
G183397,D30302
G183397,D30303
G153524,D20802
G193658,D30302
G58706,D10402
G68091,D20801
G194211,D20705
G194211,D20803
G40286,D30401
G30360,D20506
G33324,D30202
G114475,D10201
G122274,D10104
G10927,D20709
G8517,D30104
G27278,D10502
G146539,D10201
G146539,D10403
G158516,D30102
G158516,D30104
G158516,D30707
G56458,D20000
G200727,D20503
G200727,D30714
G184618,D20200
G20109,D10302
G56447,D30402
G102466,D10602
G102466,D30911
G118391,D30107
G118391,D30403
G142952,D10403
G40980,D10203
G137937,D20502
G137937,D20505
G116670,D10101
G158949,D30207
G62518,D10205
G156132,D10205
G205229,D30812
G66525,D10203
G197064,D20301
G20874,D10204
G20358,D20403
G56773,D20403
G66681,D20404
G46900,D20511
G9155,D30107
G46320,D20304
G133175,D10301
G133175,D10302
G20521,D30703
G128638,D10201
G128638,D10301
G2579,D20401
G44491,D10302
G44491,D10503
G203198,D20701
G63677,D20508
G124880,D10201
G133451,D10205
G58801,D20304
G204394,D10101
G204394,D10105
G149092,D30102
G149092,D30205
G4885,D20504
G64662,D10203
G183493,D20709
G183493,D30205
G183493,D30206
G183493,D50000
G41151,D30000
G103159,D10205
G181416,D10203
G123671,D10105
G106772,D30101
G106772,D30102
G106772,D30103
G38915,D20301
G111758,D20802
G26281,D10502
G173901,D10201
G173901,D10204
G173901,D10207
G173901,D10602
G39364,D20404
G194545,D30107
G194545,D30402
G138465,D30102
G138465,D30107
G103991,D20511
G34037,D20709
G119300,D10405
G5371,D20505
G5371,D20508
G124299,D20304
G100808,D30718
G150859,D10101
G150859,D10201
G150859,D10207
G150859,D10403
G150859,D10406
G150859,D10503
G58988,D10102
G15272,D10303
G128402,D30302
G128402,D30402
G160813,D10301
G160813,D10403
G160813,D10404
G47222,D20505
G154512,D10201
G154512,D10301
G154512,D10403
G154512,D30911
G163036,D20200
G163036,D20401
G163036,D20403
G29424,D20100
G127161,D10602
G195617,D20802
G57353,D20301
G54964,D30303
G36408,D20303
G166059,D10102
G129443,D10407
G129443,D20501
G53044,D20301
G20406,D30107
G174312,D20404
G174312,D20405
G30051,D10501
G101258,D30201
G114269,D30911
G155947,D10105
G155947,D30708
G158074,D10103
G158074,D10404
G114391,D10404
G114391,D10407
G174761,D10201
G174761,D10202
G27328,D10404
G27471,D10201
G124312,D10101
G124312,D10102
G124312,D10104
G124312,D10105
G128459,D20506
G133444,D30301
G133444,D30706
G61700,D20304
G186759,D20504
G186759,D30302
G106448,D10101
G28882,D30101
G116654,D30708
G160996,D30102
G160996,D30103
G160996,D30104
G160996,D30107
G108571,D10105
G108571,D10204
G2800,D20200
G26703,D20502
G40433,D20505
G127754,D10101
G127754,D10102
G127754,D10103
G127754,D10205
G127754,D10301
G127754,D10303
G144424,D20404
G144424,D20409
G179887,D20304
G179887,D30101
G190593,D20409
G190593,D20511
G51872,D10101
G174970,D10205
G108351,D10502
G178973,D10201
G178973,D10601
G64001,D30102
G64001,D30104
G52544,D20401
G108257,D30102
G108257,D30104
G108257,D30401
G473,D10302
G50955,D10105
G112614,D20505
G8251,D30716
G169104,D20100
G101492,D10105
G67510,D20304
G6160,D30105
G128309,D20100
G30414,D20404
G40576,D30708
G170401,D10104
G170401,D10105
G170401,D10201
G170401,D10203
G170401,D10204
G170401,D10207
G4234,D20702
G197207,D20301
G181455,D10402
G143879,D30202
G143879,D30206
G143879,D30207
G189185,D30102
G189185,D30103
G189185,D30401
G189185,D30402
G189185,D30403
G200125,D30102
G200125,D30104
G200125,D30105
G124295,D10303
G124295,D10402
G30188,D30713
G65760,D30102
G100886,D30102
G143840,D20304
G115072,D10102
G150024,D30401
G1261,D10302
G118274,D30303
G128505,D20200
G141643,D10103
G141643,D10303
G169853,D30107
G169853,D30307
G169853,D30706
G172696,D20301
G172696,D20409
G110278,D30101
G110278,D30102
G42108,D20801
G134815,D10202
G134815,D10206
G165630,D10105
G67422,D30101
G113373,D10205
G62477,D20100
G15417,D10502
G207587,D30103
G207587,D30105
G207587,D30302
G28013,D30713
G63818,D20705
G109200,D20801
G135694,D30102
G135694,D30103
G205275,D30402
G205275,D30403
G100015,D20100
G139174,D30403
G113962,D10207
G128963,D10404
G180328,D10203
G180328,D10301
G180328,D10402
G180328,D10404
G180328,D20704
G149478,D10206
G149478,D10407
G4313,D20401
G139823,D20506
G139823,D20802
G40205,D10206
G46582,D10101
G61904,D20403
G39145,D20705
G39611,D10502
G102393,D10205
G172885,D30401
G8966,D30707
G107504,D10202
G107504,D10203
G156299,D30204
G156299,D30809
G149661,D20503
G149661,D20705
G180264,D20505
G153278,D10104
G153278,D10607
G153278,D20506
G136485,D30101
G136485,D30103
G136485,D30108
G10683,D20507
G122429,D30403
G186186,D30105
G200491,D30102
G200491,D30104
G200491,D30202
G200491,D30207
G128804,D20404
G28328,D20404
G166535,D30302
G166535,D30708
G26022,D10105
G151693,D10201
G151693,D10207
G151693,D10501
G151693,D10502
G151693,D10503
G207386,D20401
G207386,D20403
G147191,D20301
G190345,D20511
G190345,D30714
G167718,D10301
G185133,D10201
G185133,D10204
G117833,D20200
G107792,D10205
G118815,D30101
G118815,D30301
G118815,D30306
G54180,D30302
G7616,D0
G187415,D30102
G187415,D30305
G117177,D20505
G175711,D20301
G175711,D20505
G53028,D30301
G160659,D10203
G121121,D10101
G137338,D30104
G137338,D30202
G7287,D30108
G307,D10202
G2503,D20404
G140885,D10101
G132659,D20405
G132659,D20503
G113437,D30702
G113437,D30715
G41664,D10000
G177536,D10601
G177536,D10605
G122366,D10105
G154141,D10101
G154141,D10102
G154141,D10301
G131182,D10201
G131182,D10202
G131182,D10205
G131182,D10602
G128574,D10105
G128574,D10203
G128574,D30302
G113832,D30103
G9380,D30102
G103284,D20100
G47102,D20503
G190574,D30207
G8535,D30717
G52087,D20506
G197204,D10201
G33562,D20303
G33562,D20803
G199831,D20507
G131524,D10205
G66691,D10501
G205303,D10404
G103936,D30102
G53889,D20404
G190970,D10301
G172493,D20501
G172493,D20705
G116304,D30403
G194283,D10105
G194283,D30407
G194283,D30708
G131113,D10302
G201678,D30102
G201678,D30403
G188967,D10104
G188967,D20506
G189723,D30708
G110447,D10202
G184525,D10102
G65121,D30303
